jammer_resolution,metric,value,behaviour
0,collision_rate,0.0063,
0,collision_counts,2,consistency
2,collision_rate,0.05718,
2,collision_counts,6,consistency
4,collision_rate,0.01906,
4,collision_counts,3,consistency
6,collision_rate,0.0594,
6,collision_counts,7,consistency
8,collision_rate,0.04664,
8,collision_counts,6,consistency
10,collision_rate,0.1263,
10,collision_counts,14,consistency
0,collision_rate,0.04534,
0,collision_counts,4,consistency
2,collision_rate,0.02494,
2,collision_counts,4,consistency
4,collision_rate,0.05134,
4,collision_counts,8,consistency
6,collision_rate,0.07608,
6,collision_counts,9,consistency
8,collision_rate,0.05012,
8,collision_counts,7,consistency
10,collision_rate,0.078,
10,collision_counts,10,consistency
0,collision_rate,0.03012,
0,collision_counts,4,consistency
2,collision_rate,0.05146,
2,collision_counts,7,consistency
4,collision_rate,0.04554,
4,collision_counts,6,consistency
6,collision_rate,0.06992,
6,collision_counts,10,consistency
8,collision_rate,0.07522,
8,collision_counts,8,consistency
10,collision_rate,0.10652,
10,collision_counts,10,consistency
0,collision_rate,0.02336,
0,collision_counts,3,consistency
2,collision_rate,0.05694,
2,collision_counts,6,consistency
4,collision_rate,0.01176,
4,collision_counts,2,consistency
6,collision_rate,0.04118,
6,collision_counts,6,consistency
8,collision_rate,0.05002,
8,collision_counts,7,consistency
10,collision_rate,0.08196,
10,collision_counts,13,consistency
0,collision_rate,0.00694,
0,collision_counts,1,consistency
2,collision_rate,0.04428,
2,collision_counts,6,consistency
4,collision_rate,0.04714,
4,collision_counts,6,consistency
6,collision_rate,0.03478,
6,collision_counts,5,consistency
8,collision_rate,0.0935,
8,collision_counts,10,consistency
10,collision_rate,0.0944,
10,collision_counts,12,consistency
0,collision_rate,0.00604,
0,collision_counts,2,consistency
2,collision_rate,0.04278,
2,collision_counts,7,consistency
4,collision_rate,0.0407,
4,collision_counts,5,consistency
6,collision_rate,0.03394,
6,collision_counts,5,consistency
8,collision_rate,0.07682,
8,collision_counts,10,consistency
10,collision_rate,0.06506,
10,collision_counts,10,consistency
0,collision_rate,0.01174,
0,collision_counts,2,consistency
2,collision_rate,0.0278,
2,collision_counts,5,consistency
4,collision_rate,0.0298,
4,collision_counts,4,consistency
6,collision_rate,0.02688,
6,collision_counts,3,consistency
8,collision_rate,0.11522,
8,collision_counts,16,consistency
10,collision_rate,0.10706,
10,collision_counts,12,consistency
0,collision_rate,0.02676,
0,collision_counts,5,consistency
2,collision_rate,0.0429,
2,collision_counts,6,consistency
4,collision_rate,0.03862,
4,collision_counts,5,consistency
6,collision_rate,0.0599,
6,collision_counts,7,consistency
8,collision_rate,0.07728,
8,collision_counts,13,consistency
10,collision_rate,0.03012,
10,collision_counts,6,consistency
0,collision_rate,0.013,
0,collision_counts,2,consistency
2,collision_rate,0.02174,
2,collision_counts,2,consistency
4,collision_rate,0.03848,
4,collision_counts,6,consistency
6,collision_rate,0.09742,
6,collision_counts,8,consistency
8,collision_rate,0.06638,
8,collision_counts,10,consistency
10,collision_rate,0.0862,
10,collision_counts,12,consistency
0,collision_rate,0.01062,
0,collision_counts,2,consistency
2,collision_rate,0.02818,
2,collision_counts,4,consistency
4,collision_rate,0.04222,
4,collision_counts,5,consistency
6,collision_rate,0.05862,
6,collision_counts,8,consistency
8,collision_rate,0.06362,
8,collision_counts,10,consistency
10,collision_rate,0.06474,
10,collision_counts,8,consistency
random,collision_counts,27,random
random,collision_counts,34,random
random,collision_counts,27,random
random,collision_counts,30,random
random,collision_counts,32,random
random,collision_counts,33,random
random,collision_counts,33,random
random,collision_counts,33,random
random,collision_counts,35,random
random,collision_counts,32,random
