x,y,direction_x,direction_y,wall_id
0,1,1,0,left
0,2,2,0,left
0,3,3,0,left
0,4,4,0,left
0,5,5,0,left
0,6,6,0,left
0,7,7,0,left
0,8,8,0,left
0,9,9,0,left
1,0,0,1,bottom
2,0,0,2,bottom
3,0,0,3,bottom
4,0,0,4,bottom
5,0,0,5,bottom
6,0,0,6,bottom
7,0,0,7,bottom
8,0,0,8,bottom
9,0,0,9,bottom
10,1,-1,0,right
10,2,-2,0,right
10,3,-3,0,right
10,4,-4,0,right
10,5,-5,0,right
10,6,-6,0,right
10,7,-7,0,right
10,8,-8,0,right
10,9,-9,0,right
1,10,0,-1,top
2,10,0,-2,top
3,10,0,-3,top
4,10,0,-4,top
5,10,0,-5,top
6,10,0,-6,top
7,10,0,-7,top
8,10,0,-8,top
9,10,0,-9,top
