,all_spl_values,occurance_times,ids,origin,emitter_id,bat_direction,incident_direction,type,reflected_from,sound_object_id,bat_last_call_time,sound_direction,theta,bat_position,distance_from_bat,creation_time,received_spl,time,duration
0,"[np.float64(66.45467197192337), np.float64(66.4545385363712)]","[np.float64(0.046), np.float64(0.047)]","[UUID('86b13884-8bab-4153-acee-69d665ea8dad'), UUID('86b13884-8bab-4153-acee-69d665ea8dad')]","(np.float64(0.0), np.float64(2.5501))",2,"Vector(0.126, 0.992)","Vector(-5.010, -1.091)",echo,wall_obstacle_4,86b13884-8bab-4153-acee-69d665ea8dad,0.043000000000000003,"Vector(0.000, 1.000)",-130.06488633800905,"Vector(5.010, 3.641)",5.1269565221093885,0.030311661807580177,66.455,0.046,0.002
1,"[np.float64(60.66769923551695), np.float64(60.674759325630454)]","[np.float64(0.047), np.float64(0.048)]","[UUID('6cd5a6c7-94d5-4438-ae78-eefa5523845f'), UUID('6cd5a6c7-94d5-4438-ae78-eefa5523845f')]","(np.int64(10), np.int64(8))",25,"Vector(0.126, 0.992)","Vector(4.990, 4.356)",direct,,6cd5a6c7-94d5-4438-ae78-eefa5523845f,0.043000000000000003,"Vector(-1.000, 0.000)",78.77657974097951,"Vector(5.010, 3.644)",6.624069415155612,0.027,60.671,0.047,0.002
2,"[np.float64(60.68623638294976), np.float64(60.688677293257314)]","[np.float64(0.054), np.float64(0.055)]","[UUID('cd512574-70df-4625-85f2-8bcb6577f953'), UUID('cd512574-70df-4625-85f2-8bcb6577f953')]","(np.int64(1), np.int64(10))",27,"Vector(0.126, 0.992)","Vector(-4.013, 6.336)",direct,,cd512574-70df-4625-85f2-8bcb6577f953,0.043000000000000003,"Vector(0.000, -1.000)",160.00299679596918,"Vector(5.013, 3.664)",7.4993947286431055,0.032,60.687,0.054,0.002
3,"[np.float64(63.695842581747456), np.float64(63.70224373896906)]","[np.float64(0.101), np.float64(0.10200000000000001)]","[UUID('459e9a55-bd1e-4fdd-abb3-3f63fe8b6152'), UUID('459e9a55-bd1e-4fdd-abb3-3f63fe8b6152')]","(np.int64(10), np.int64(6))",23,"Vector(0.241, 0.971)","Vector(4.960, 2.197)",direct,,459e9a55-bd1e-4fdd-abb3-3f63fe8b6152,0.095,"Vector(-1.000, 0.000)",61.54696373444449,"Vector(5.040, 3.803)",5.425177316410958,0.085,63.699,0.101,0.002
4,"[np.float64(60.66994886526097), np.float64(60.67267220324325)]","[np.float64(0.10200000000000001), np.float64(0.10300000000000001)]","[UUID('1d7c3ade-8ea6-4495-9935-a20292b12f4d'), UUID('1d7c3ade-8ea6-4495-9935-a20292b12f4d')]","(np.float64(10.0), np.float64(6.1199))",23,"Vector(0.241, 0.971)","Vector(4.960, 2.314)",echo,wall_obstacle_24,1d7c3ade-8ea6-4495-9935-a20292b12f4d,0.095,"Vector(0.000, -1.000)",62.66989213958785,"Vector(5.040, 3.806)",5.472953488163407,0.08534956268221575,60.671,0.102,0.002
5,"[np.float64(61.376141596915964), np.float64(61.38271418336686)]","[np.float64(0.10200000000000001), np.float64(0.10300000000000001)]","[UUID('3b0ecd4e-5260-408a-aaa1-4bf8fc79002a'), UUID('3b0ecd4e-5260-408a-aaa1-4bf8fc79002a')]","(np.float64(10.0), np.float64(5.6101))",23,"Vector(0.241, 0.971)","Vector(4.960, 1.804)",echo,wall_obstacle_23,3b0ecd4e-5260-408a-aaa1-4bf8fc79002a,0.095,"Vector(0.000, 1.000)",57.648079574072426,"Vector(5.040, 3.806)",5.277637316413473,0.08613673469387756,61.379,0.102,0.002
6,"[np.float64(64.09067348303232), np.float64(64.09144379994916)]","[np.float64(0.10400000000000001), np.float64(0.105)]","[UUID('44c1d8b8-4d34-447f-ae41-3ed42ad19830'), UUID('44c1d8b8-4d34-447f-ae41-3ed42ad19830')]","(np.int64(10), np.int64(2))",19,"Vector(0.241, 0.971)","Vector(4.958, -1.811)",direct,,44c1d8b8-4d34-447f-ae41-3ed42ad19830,0.095,"Vector(-1.000, 0.000)",17.58505016728907,"Vector(5.042, 3.811)",5.278654786098444,0.088,64.091,0.104,0.002
7,"[np.float64(69.96429847504501), np.float64(69.96135820146965)]","[np.float64(0.10400000000000001), np.float64(0.105)]","[UUID('e21e65bd-6e44-4a09-8402-2c82ad501d59'), UUID('e21e65bd-6e44-4a09-8402-2c82ad501d59')]","(np.float64(10.0), np.float64(2.0399))",19,"Vector(0.241, 0.971)","Vector(4.958, -1.772)",echo,wall_obstacle_16,e21e65bd-6e44-4a09-8402-2c82ad501d59,0.095,"Vector(0.000, -1.000)",17.99288720627078,"Vector(5.042, 3.811)",5.265096109740068,0.08811632653061224,69.963,0.104,0.002
8,[np.float64(78.70746897690324)],[np.float64(0.108)],[UUID('9a8fc332-e66b-4f4f-8c1b-04fb633c466c')],"(np.int64(0), np.int64(5))",4,"Vector(0.241, 0.971)","Vector(-5.044, 1.180)",direct,,9a8fc332-e66b-4f4f-8c1b-04fb633c466c,0.095,"Vector(1.000, 0.000)",-155.5108086506459,"Vector(5.044, 3.820)",5.180191651290519,0.092,78.707,0.108,0.001
9,[np.float64(68.94470147112135)],[np.float64(0.108)],[UUID('4111cf1e-3351-4f6b-9ab0-aa5f0809e486')],"(np.float64(0.0), np.float64(5.0999))",4,"Vector(0.241, 0.971)","Vector(-5.044, 1.280)",echo,wall_obstacle_9,4111cf1e-3351-4f6b-9ab0-aa5f0809e486,0.095,"Vector(0.000, -1.000)",-156.5818863607425,"Vector(5.044, 3.820)",5.203854300813965,0.09229125364431487,68.945,0.108,0.001
