,index,parameter,odds_ratio,parameter_value,ci_low,ci_high,pvalue,coeffs
24,14,BAT_FRONTAL_RANGE,0.9460226875976507,90.0,0.9445124795711691,0.9475353103389537,0.0,-0.055488727556473744
23,13,BAT_FRONTAL_RANGE,1.0771169788124084,30.0,1.0754006281278836,1.078836068810632,0.0,0.07428800770072946
9,9,BAT_FRONTAL_RANGE,1.0,60,1.0,1.0,0.0,0.0
20,10,BAT_RADIAL_RESOLUTION,0.9725405956967078,4.0,0.9712739695541182,0.9738088736304865,0.0,-0.02784346071377722
7,7,BAT_RADIAL_RESOLUTION,1.0,2.0,1.0,1.0,0.0,0.0
11,1,BAT_SPEED,2.3010186215089976,5.0,2.297562326289272,2.3044801161422535,0.0,0.833351903810138
10,0,BAT_SPEED,0.24543734156512878,1.0,0.24502525750297607,0.24585011867123951,0.0,-1.404713592164346
0,0,BAT_SPEED,1.0,3,1.0,1.0,0.0,0.0
16,6,CALL_DIRECTIONALITY,1.026652633934268,10.0,1.0253155349423932,1.0279914766173803,0.0,0.026303639978119308
4,4,CALL_DIRECTIONALITY,1.0,7,1.0,1.0,0.0,0.0
1,1,CALL_DURATION,1.0,2,1.0,1.0,0.0,0.0
12,2,CALL_DURATION,1.100281130125443,5.0,1.0988479136996359,1.1017162158812068,0.0,0.09556571999246137
2,2,CALL_RATE_FAST,1.0,10,1.0,1.0,0.0,0.0
13,3,CALL_RATE_FAST,0.976540964189352,20.0,0.9752691330169387,0.9778144539342315,3.809085856803556e-279,-0.02373857953058328
14,4,HEARING_THRESHOLD,0.6108677373119701,40.0,0.60988651102787,0.6118505422586626,0.0,-0.4928748124545615
15,5,HEARING_THRESHOLD,1.2996581187188683,80.0,1.2976012781297943,1.3017182196262544,0.0,0.2621012442798434
3,3,HEARING_THRESHOLD,1.0,60,1.0,1.0,0.0,0.0
21,11,MEMORY_WINDOW_FOR_CONSISTENCY,1.057262518609955,3.0,1.0555757142525866,1.0589520184716834,0.0,0.05568303802862203
22,12,MEMORY_WINDOW_FOR_CONSISTENCY,1.0642624805943315,10.0,1.0625646391335906,1.0659630349870857,0.0,0.0622820527838191
8,8,MEMORY_WINDOW_FOR_CONSISTENCY,1.0,5,1.0,1.0,0.0,0.0
17,7,TEMPORAL_MASKING_FN_TYPE,0.9998547746362385,full,0.9985525935754148,1.0011586538304664,0.8270970687974071,-0.00014523590998571055
5,5,TEMPORAL_MASKING_FN_TYPE,1.0,chopped,1.0,1.0,0.0,0.0
6,6,TIME_DELAY_FOR_DIRECTION_CHANGE,1.0,12.0,1.0,1.0,0.0,0.0
18,8,TIME_DELAY_FOR_DIRECTION_CHANGE,1.2653052179455555,6.0,1.2632890458932906,1.2673246077489422,0.0,0.23531337208472916
19,9,TIME_DELAY_FOR_DIRECTION_CHANGE,0.9457024044696282,24.0,0.9441910371293608,0.947216191056793,0.0,-0.05582734243495263
