,index,parameter,odds_ratio,parameter_value,ci_low,ci_high,pvalue,coeffs
24,14,BAT_FRONTAL_RANGE,1.054925956682921,90.0,1.0453301848434622,1.064609814410007,1.8901458681107945e-30,0.05347058122613371
23,13,BAT_FRONTAL_RANGE,0.9903969493055779,30.0,0.9813490236262099,0.9995282958241463,0.03932935803662992,-0.009649457321515221
9,9,BAT_FRONTAL_RANGE,1.0,60,1.0,1.0,0.0,0.0
20,10,BAT_RADIAL_RESOLUTION,1.01029517219681,4.0,1.002773101461774,1.0178736680075293,0.007226125500595915,0.010242537856355103
7,7,BAT_RADIAL_RESOLUTION,1.0,2.0,1.0,1.0,0.0,0.0
11,1,BAT_SPEED,2.0928159265029347,5.0,2.0756373282090355,2.110136700038786,0.0,0.7385104923927137
10,0,BAT_SPEED,0.17204313353972042,1.0,0.17018924510365413,0.17391721656758533,0.0,-1.7600100572141044
0,0,BAT_SPEED,1.0,3,1.0,1.0,0.0,0.0
16,6,CALL_DIRECTIONALITY,1.0315648831224773,10.0,1.0238843579319554,1.039303022697617,3.632055606635056e-16,0.03107695326928859
4,4,CALL_DIRECTIONALITY,1.0,7,1.0,1.0,0.0,0.0
1,1,CALL_DURATION,1.0,2,1.0,1.0,0.0,0.0
12,2,CALL_DURATION,1.1003550974583443,5.0,1.0921614561084245,1.108610209352015,8.686827611404007e-139,0.09563294358171431
2,2,CALL_RATE_FAST,1.0,10,1.0,1.0,0.0,0.0
13,3,CALL_RATE_FAST,0.8669245621790799,20.0,0.8604681127333047,0.8734294570452361,8.301215949249433e-307,-0.14280331616127165
14,4,HEARING_THRESHOLD,1.585642204572567,40.0,1.5709617525582327,1.600459843676908,0.0,0.46098950165393504
15,5,HEARING_THRESHOLD,1.6650092456963974,80.0,1.649636811965735,1.6805249301820684,0.0,0.5098306763877988
3,3,HEARING_THRESHOLD,1.0,60,1.0,1.0,0.0,0.0
21,11,MEMORY_WINDOW_FOR_CONSISTENCY,0.9136263239166487,3.0,0.9052196941063493,0.9221110247468647,9.124060314273775e-82,-0.09033362710160922
22,12,MEMORY_WINDOW_FOR_CONSISTENCY,1.1797888095928641,10.0,1.1691211058248665,1.1905538513552874,9.306303582255321e-279,0.16533544753834936
8,8,MEMORY_WINDOW_FOR_CONSISTENCY,1.0,5,1.0,1.0,0.0,0.0
17,7,TEMPORAL_MASKING_FN_TYPE,1.0033667297055697,full,0.9958962539158874,1.010893243469393,0.3780542618582625,0.003361074959560874
5,5,TEMPORAL_MASKING_FN_TYPE,1.0,chopped,1.0,1.0,0.0,0.0
6,6,TIME_DELAY_FOR_DIRECTION_CHANGE,1.0,12.0,1.0,1.0,0.0,0.0
18,8,TIME_DELAY_FOR_DIRECTION_CHANGE,1.5892556112193106,6.0,1.5748887988578646,1.603753483816615,0.0,0.4632657375623376
19,9,TIME_DELAY_FOR_DIRECTION_CHANGE,1.0008127727104736,24.0,0.9914957966141378,1.010217299398427,0.8648128801413593,0.0008124425895976676
