jammer_resolution,metric,value,behaviour
0,collision_counts,2,consistency
2,collision_counts,6,consistency
4,collision_counts,3,consistency
6,collision_counts,7,consistency
8,collision_counts,6,consistency
10,collision_counts,14,consistency
0,collision_counts,4,consistency
2,collision_counts,4,consistency
4,collision_counts,8,consistency
6,collision_counts,9,consistency
8,collision_counts,7,consistency
10,collision_counts,10,consistency
0,collision_counts,4,consistency
2,collision_counts,7,consistency
4,collision_counts,6,consistency
6,collision_counts,10,consistency
8,collision_counts,8,consistency
10,collision_counts,10,consistency
0,collision_counts,3,consistency
2,collision_counts,6,consistency
4,collision_counts,2,consistency
6,collision_counts,6,consistency
8,collision_counts,7,consistency
10,collision_counts,13,consistency
0,collision_counts,1,consistency
2,collision_counts,6,consistency
4,collision_counts,6,consistency
6,collision_counts,5,consistency
8,collision_counts,10,consistency
10,collision_counts,12,consistency
0,collision_counts,2,consistency
2,collision_counts,7,consistency
4,collision_counts,5,consistency
6,collision_counts,5,consistency
8,collision_counts,10,consistency
10,collision_counts,10,consistency
0,collision_counts,2,consistency
2,collision_counts,5,consistency
4,collision_counts,4,consistency
6,collision_counts,3,consistency
8,collision_counts,16,consistency
10,collision_counts,12,consistency
0,collision_counts,5,consistency
2,collision_counts,6,consistency
4,collision_counts,5,consistency
6,collision_counts,7,consistency
8,collision_counts,13,consistency
10,collision_counts,6,consistency
0,collision_counts,2,consistency
2,collision_counts,2,consistency
4,collision_counts,6,consistency
6,collision_counts,8,consistency
8,collision_counts,10,consistency
10,collision_counts,12,consistency
0,collision_counts,2,consistency
2,collision_counts,4,consistency
4,collision_counts,5,consistency
6,collision_counts,8,consistency
8,collision_counts,10,consistency
10,collision_counts,8,consistency
random,collision_counts,27,random
random,collision_counts,34,random
random,collision_counts,27,random
random,collision_counts,30,random
random,collision_counts,32,random
random,collision_counts,33,random
random,collision_counts,33,random
random,collision_counts,33,random
random,collision_counts,35,random
random,collision_counts,32,random
0,collision_counts,30,loudest_sound
2,collision_counts,26,loudest_sound
4,collision_counts,30,loudest_sound
6,collision_counts,31,loudest_sound
8,collision_counts,24,loudest_sound
10,collision_counts,23,loudest_sound
0,collision_counts,29,loudest_sound
2,collision_counts,27,loudest_sound
4,collision_counts,29,loudest_sound
6,collision_counts,29,loudest_sound
8,collision_counts,33,loudest_sound
10,collision_counts,29,loudest_sound
0,collision_counts,32,loudest_sound
2,collision_counts,29,loudest_sound
4,collision_counts,32,loudest_sound
6,collision_counts,29,loudest_sound
8,collision_counts,29,loudest_sound
10,collision_counts,30,loudest_sound
0,collision_counts,29,loudest_sound
2,collision_counts,28,loudest_sound
4,collision_counts,36,loudest_sound
6,collision_counts,31,loudest_sound
8,collision_counts,28,loudest_sound
10,collision_counts,34,loudest_sound
0,collision_counts,31,loudest_sound
2,collision_counts,28,loudest_sound
4,collision_counts,26,loudest_sound
6,collision_counts,35,loudest_sound
8,collision_counts,27,loudest_sound
10,collision_counts,28,loudest_sound
0,collision_counts,32,loudest_sound
2,collision_counts,30,loudest_sound
4,collision_counts,29,loudest_sound
6,collision_counts,28,loudest_sound
8,collision_counts,26,loudest_sound
10,collision_counts,23,loudest_sound
0,collision_counts,30,loudest_sound
2,collision_counts,28,loudest_sound
4,collision_counts,30,loudest_sound
6,collision_counts,30,loudest_sound
8,collision_counts,29,loudest_sound
10,collision_counts,25,loudest_sound
0,collision_counts,28,loudest_sound
2,collision_counts,29,loudest_sound
4,collision_counts,29,loudest_sound
6,collision_counts,30,loudest_sound
8,collision_counts,28,loudest_sound
10,collision_counts,27,loudest_sound
0,collision_counts,28,loudest_sound
2,collision_counts,28,loudest_sound
4,collision_counts,27,loudest_sound
6,collision_counts,30,loudest_sound
8,collision_counts,23,loudest_sound
10,collision_counts,28,loudest_sound
0,collision_counts,31,loudest_sound
2,collision_counts,29,loudest_sound
4,collision_counts,28,loudest_sound
6,collision_counts,24,loudest_sound
8,collision_counts,26,loudest_sound
10,collision_counts,27,loudest_sound
