,func,ncalls,ccalls,tottime,cumtime,callers
0,"<code object expanduser at 0x55893d592540, file ""<frozen posixpath>"", line 256>",10893,0,0.011433337,0.006540590000000001,"[_lsprof.profiler_subentry(code='<built-in method posix.fspath>', callcount=10893, reccallcount=0, totaltime=0.00127297, inlinetime=0.00127297), _lsprof.profiler_subentry(code=""<method 'startswith' of 'str' objects>"", callcount=10893, reccallcount=0, totaltime=0.0026495710000000003, inlinetime=0.0026495710000000003), _lsprof.profiler_subentry(code='<built-in method builtins.isinstance>', callcount=10893, reccallcount=0, totaltime=0.000970206, inlinetime=0.000970206)]"
1,"<code object splitroot at 0x55893d593100, file ""<frozen posixpath>"", line 138>",1,0,7.78e-07,5.85e-07,"[_lsprof.profiler_subentry(code='<built-in method posix.fspath>', callcount=1, reccallcount=0, totaltime=8.100000000000001e-08, inlinetime=8.100000000000001e-08), _lsprof.profiler_subentry(code='<built-in method builtins.isinstance>', callcount=1, reccallcount=0, totaltime=1.1200000000000001e-07, inlinetime=1.1200000000000001e-07)]"
2,"<code object splitdrive at 0x55893d593280, file ""<frozen posixpath>"", line 131>",1,0,1.151e-06,1.0140000000000002e-06,"[_lsprof.profiler_subentry(code='<built-in method posix.fspath>', callcount=1, reccallcount=0, totaltime=1.37e-07, inlinetime=1.37e-07)]"
3,"<code object getstate at 0x55893d5a9380, file ""<frozen codecs>"", line 331>",10890,0,0.002026309,0.002026309,
4,"<code object decode at 0x55893d5a9560, file ""<frozen codecs>"", line 319>",10890,0,0.011738403000000001,0.007708532000000001,"[_lsprof.profiler_subentry(code='<built-in method _codecs.utf_8_decode>', callcount=10890, reccallcount=0, totaltime=0.004029871, inlinetime=0.004029871)]"
5,"<code object __init__ at 0x55893d5a9780, file ""<frozen codecs>"", line 309>",3630,0,0.0036713590000000003,0.003169823,"[_lsprof.profiler_subentry(code=<code object __init__ at 0x55893d5a9d00, file ""<frozen codecs>"", line 260>, callcount=3630, reccallcount=0, totaltime=0.000501536, inlinetime=0.000501536)]"
6,"<code object __init__ at 0x55893d5a9d00, file ""<frozen codecs>"", line 260>",3630,0,0.000501536,0.000501536,
7,"<code object __instancecheck__ at 0x55893d5ab9a0, file ""<frozen abc>"", line 117>",50873,0,0.026545745000000003,0.009311822,"[_lsprof.profiler_subentry(code='<built-in method _abc._abc_instancecheck>', callcount=50873, reccallcount=0, totaltime=0.017233923, inlinetime=0.017233923)]"
8,<built-in method _stat.S_ISDIR>,1,0,2.4500000000000004e-07,2.4500000000000004e-07,
9,<built-in method _operator.and_>,14637,0,0.011921952000000001,0.011921952000000001,
10,<built-in method _operator.lt>,14637,0,0.017798858,0.017798858,
11,<built-in method _operator.ge>,14637,0,0.022197478,0.022197478,
12,<built-in method _abc._abc_instancecheck>,50873,0,0.017233923,0.017233923,
13,<method '__exit__' of '_thread.RLock' objects>,50,0,1.3911000000000001e-05,1.3911000000000001e-05,
14,<method 'match' of 're.Pattern' objects>,3631,0,0.003891991,0.003891991,
15,<method 'close' of '_io.TextIOWrapper' objects>,3630,0,0.015607538,0.015607538,
16,<method 'close' of '_io.BufferedWriter' objects>,1,0,1.3255000000000001e-05,1.3255000000000001e-05,
17,<method 'close' of '_io.BufferedRandom' objects>,50,0,0.009308043,0.009308043,
18,<method 'flush' of '_io.BufferedRandom' objects>,50,0,6.1844e-05,6.1844e-05,
19,<method 'seek' of '_io.BufferedRandom' objects>,400,0,0.00932808,0.00932808,
20,<method 'tell' of '_io.BufferedRandom' objects>,300,0,0.00013550000000000001,0.00013550000000000001,
21,<method 'write' of '_io.BufferedRandom' objects>,1000,0,0.000536338,0.000536338,
22,<function _ZipWriteFile.close at 0x7eae6711b920>,100,0,4.9300000000000006e-05,4.9300000000000006e-05,
23,<method '__exit__' of '_io._IOBase' objects>,151,0,0.035267280000000005,0.019820751,"[_lsprof.profiler_subentry(code=<code object close at 0x5589647ee750, file ""/home/adityamoger/anaconda3/envs/cocktail_3_dynamic_model/lib/python3.12/zipfile/__init__.py"", line 1211>, callcount=100, reccallcount=0, totaltime=0.015446529, inlinetime=0.000565484)]"
24,<built-in method _io.open>,3732,0,0.083714774,0.080043415,"[_lsprof.profiler_subentry(code=<code object __init__ at 0x55893d5a9780, file ""<frozen codecs>"", line 309>, callcount=3630, reccallcount=0, totaltime=0.0036713590000000003, inlinetime=0.003169823)]"
25,<built-in method _codecs.lookup>,3631,0,0.0033071290000000002,0.0033071290000000002,
26,<built-in method _codecs.utf_8_decode>,10890,0,0.004029871,0.004029871,
