,jammer_resolution,metric,value
0,0,collision_rate,0.12284
1,0,collision_counts,31.0
2,2,collision_rate,0.12648
3,2,collision_counts,34.0
4,4,collision_rate,0.11874
5,4,collision_counts,33.0
6,6,collision_rate,0.1223
7,6,collision_counts,32.0
8,8,collision_rate,0.1283
9,8,collision_counts,26.0
10,10,collision_rate,0.13062
11,10,collision_counts,27.0
12,0,collision_rate,0.12364
13,0,collision_counts,34.0
14,2,collision_rate,0.12162
15,2,collision_counts,34.0
16,4,collision_rate,0.11688
17,4,collision_counts,28.0
18,6,collision_rate,0.12056
19,6,collision_counts,32.0
20,8,collision_rate,0.12736
21,8,collision_counts,34.0
22,10,collision_rate,0.12452
23,10,collision_counts,34.0
24,0,collision_rate,0.11952
25,0,collision_counts,32.0
26,2,collision_rate,0.12588
27,2,collision_counts,32.0
28,4,collision_rate,0.1241
29,4,collision_counts,33.0
30,6,collision_rate,0.12074
31,6,collision_counts,33.0
32,8,collision_rate,0.12206
33,8,collision_counts,31.0
34,10,collision_rate,0.1153
35,10,collision_counts,27.0
36,0,collision_rate,0.11924
37,0,collision_counts,32.0
38,2,collision_rate,0.12302
39,2,collision_counts,32.0
40,4,collision_rate,0.12186
41,4,collision_counts,29.0
42,6,collision_rate,0.11892
43,6,collision_counts,32.0
44,8,collision_rate,0.12494
45,8,collision_counts,34.0
46,10,collision_rate,0.12262
47,10,collision_counts,30.0
48,0,collision_rate,0.11982
49,0,collision_counts,29.0
50,2,collision_rate,0.1237
51,2,collision_counts,32.0
52,4,collision_rate,0.12458
53,4,collision_counts,31.0
54,6,collision_rate,0.12522
55,6,collision_counts,32.0
56,8,collision_rate,0.1123
57,8,collision_counts,25.0
58,10,collision_rate,0.11976
59,10,collision_counts,32.0
60,0,collision_rate,0.11074
61,0,collision_counts,24.0
62,2,collision_rate,0.11968
63,2,collision_counts,32.0
64,4,collision_rate,0.11754
65,4,collision_counts,27.0
66,6,collision_rate,0.123
67,6,collision_counts,30.0
68,8,collision_rate,0.12444
69,8,collision_counts,30.0
70,10,collision_rate,0.12152
71,10,collision_counts,33.0
72,0,collision_rate,0.1207
73,0,collision_counts,33.0
74,2,collision_rate,0.12198
75,2,collision_counts,27.0
76,4,collision_rate,0.12574
77,4,collision_counts,33.0
78,6,collision_rate,0.12056
79,6,collision_counts,32.0
80,8,collision_rate,0.12
81,8,collision_counts,32.0
82,10,collision_rate,0.11976
83,10,collision_counts,33.0
84,0,collision_rate,0.1165
85,0,collision_counts,27.0
86,2,collision_rate,0.12392
87,2,collision_counts,33.0
88,4,collision_rate,0.12554
89,4,collision_counts,33.0
90,6,collision_rate,0.1228
91,6,collision_counts,32.0
92,8,collision_rate,0.12378
93,8,collision_counts,32.0
94,10,collision_rate,0.12298
95,10,collision_counts,33.0
96,0,collision_rate,0.1242
97,0,collision_counts,34.0
98,2,collision_rate,0.1254
99,2,collision_counts,30.0
100,4,collision_rate,0.12318
101,4,collision_counts,33.0
102,6,collision_rate,0.1185
103,6,collision_counts,29.0
104,8,collision_rate,0.11826
105,8,collision_counts,27.0
106,10,collision_rate,0.12516
107,10,collision_counts,35.0
108,0,collision_rate,0.1177
109,0,collision_counts,27.0
110,2,collision_rate,0.1189
111,2,collision_counts,32.0
112,4,collision_rate,0.12234
113,4,collision_counts,31.0
114,6,collision_rate,0.12258
115,6,collision_counts,31.0
116,8,collision_rate,0.1242
117,8,collision_counts,30.0
118,10,collision_rate,0.12368
119,10,collision_counts,32.0
