,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,BAT_SPEED
0,67,4,0.0515333333333333,1,iteration_number_0,1
1,59,4,0.0338666666666667,1,iteration_number_1,1
2,80,6,0.0702,1,iteration_number_2,1
3,76,5,0.0607666666666667,1,iteration_number_3,1
4,74,5,0.0721,1,iteration_number_4,1
5,68,5,0.0737,1,iteration_number_5,1
6,51,4,0.0334666666666667,1,iteration_number_6,1
7,84,5,0.0593666666666667,1,iteration_number_7,1
8,81,5,0.0605,1,iteration_number_8,1
9,68,4,0.0543333333333333,1,iteration_number_9,1
10,63,4,0.0338666666666667,1,iteration_number_10,1
11,82,5,0.0586333333333333,1,iteration_number_11,1
12,73,4,0.0646333333333333,1,iteration_number_12,1
13,62,4,0.0564,1,iteration_number_13,1
14,66,4,0.0776,1,iteration_number_14,1
15,72,5,0.0601,1,iteration_number_15,1
16,40,4,0.0334666666666667,1,iteration_number_16,1
17,82,5,0.0621666666666667,1,iteration_number_17,1
18,82,5,0.0591,1,iteration_number_18,1
19,54,3,0.0251,1,iteration_number_19,1
20,84,5,0.0590333333333333,1,iteration_number_20,1
21,68,5,0.0737,1,iteration_number_21,1
22,80,5,0.0640333333333333,1,iteration_number_22,1
23,79,5,0.0554333333333333,1,iteration_number_23,1
24,65,5,0.0692333333333333,1,iteration_number_24,1
25,71,5,0.0601,1,iteration_number_25,1
26,71,4,0.0533333333333333,1,iteration_number_26,1
27,70,4,0.0541333333333333,1,iteration_number_27,1
28,64,5,0.0578333333333333,1,iteration_number_28,1
29,79,5,0.0658333333333333,1,iteration_number_29,1
30,56,3,0.0251,1,iteration_number_30,1
31,79,6,0.0708666666666667,1,iteration_number_31,1
32,54,4,0.0334666666666667,1,iteration_number_32,1
33,69,4,0.0547666666666667,1,iteration_number_33,1
34,83,5,0.0592333333333333,1,iteration_number_34,1
35,71,4,0.0558666666666667,1,iteration_number_35,1
36,67,4,0.0520666666666667,1,iteration_number_36,1
37,71,5,0.0570333333333333,1,iteration_number_37,1
38,70,4,0.0579333333333333,1,iteration_number_38,1
39,79,5,0.0658333333333333,1,iteration_number_39,1
40,74,5,0.0699,1,iteration_number_40,1
41,81,5,0.0610333333333333,1,iteration_number_41,1
42,64,4,0.0896,1,iteration_number_42,1
43,59,4,0.0338666666666667,1,iteration_number_43,1
44,80,6,0.0694,1,iteration_number_44,1
45,49,3,0.0463666666666667,1,iteration_number_45,1
46,59,4,0.0334666666666667,1,iteration_number_46,1
47,81,5,0.0597,1,iteration_number_47,1
48,61,4,0.0334666666666667,1,iteration_number_48,1
49,57,3,0.0399666666666667,1,iteration_number_49,1
50,77,5,0.0619666666666667,1,iteration_number_50,1
51,70,4,0.0541333333333333,1,iteration_number_51,1
52,64,5,0.0578333333333333,1,iteration_number_52,1
53,82,5,0.0622333333333333,1,iteration_number_53,1
54,83,5,0.0592333333333333,1,iteration_number_54,1
55,77,5,0.0553666666666667,1,iteration_number_55,1
56,50,4,0.0473333333333333,1,iteration_number_56,1
57,71,4,0.0558666666666667,1,iteration_number_57,1
58,71,4,0.0592666666666667,1,iteration_number_58,1
59,80,6,0.0702,1,iteration_number_59,1
60,81,5,0.0592333333333333,1,iteration_number_60,1
61,70,4,0.0579333333333333,1,iteration_number_61,1
62,80,5,0.0640333333333333,1,iteration_number_62,1
63,75,5,0.0612333333333333,1,iteration_number_63,1
64,40,4,0.0334666666666667,1,iteration_number_64,1
65,82,5,0.0622333333333333,1,iteration_number_65,1
66,57,5,0.0679,1,iteration_number_66,1
67,79,6,0.0708666666666667,1,iteration_number_67,1
68,69,5,0.0737,1,iteration_number_68,1
69,72,4,0.0524666666666667,1,iteration_number_69,1
70,78,5,0.0682333333333333,1,iteration_number_70,1
71,75,5,0.0626333333333333,1,iteration_number_71,1
72,81,5,0.0589,1,iteration_number_72,1
73,45,4,0.058,1,iteration_number_73,1
74,81,5,0.0596333333333333,1,iteration_number_74,1
75,78,5,0.0555,1,iteration_number_75,1
76,65,4,0.0634666666666667,1,iteration_number_76,1
77,15,4,0.0334666666666667,1,iteration_number_77,1
78,60,4,0.0948,1,iteration_number_78,1
79,73,4,0.0599666666666667,1,iteration_number_79,1
80,66,4,0.0808666666666667,1,iteration_number_80,1
81,75,5,0.0561666666666667,1,iteration_number_81,1
82,61,4,0.0338666666666667,1,iteration_number_82,1
83,57,3,0.0399666666666667,1,iteration_number_83,1
84,62,4,0.0564,1,iteration_number_84,1
85,50,4,0.0473333333333333,1,iteration_number_85,1
86,52,3,0.0607,1,iteration_number_86,1
87,39,3,0.0251,1,iteration_number_87,1
88,66,5,0.0679,1,iteration_number_88,1
89,61,4,0.0564,1,iteration_number_89,1
90,55,4,0.0334666666666667,1,iteration_number_90,1
91,78,6,0.0708666666666667,1,iteration_number_91,1
92,65,4,0.0338666666666667,1,iteration_number_92,1
93,67,5,0.0719,1,iteration_number_93,1
94,67,4,0.0744666666666667,1,iteration_number_94,1
95,76,5,0.0578333333333333,1,iteration_number_95,1
96,82,5,0.0586333333333333,1,iteration_number_96,1
97,72,5,0.0601,1,iteration_number_97,1
98,76,5,0.0557666666666667,1,iteration_number_98,1
99,83,5,0.0588333333333333,1,iteration_number_99,1
100,162,11,0.0577,1,iteration_number_0,3
101,183,15,0.0647,1,iteration_number_1,3
102,201,15,0.0608333333333333,1,iteration_number_2,3
103,104,10,0.0810666666666667,1,iteration_number_3,3
104,203,16,0.0622,1,iteration_number_4,3
