,space_occupied,collision_counts,collision_rate,calling_effort,iteration_label,SOUND_SPEED,SIM_DURATION,TIME_STEP,ARENA_WIDTH,ARENA_LENGTH,WALL_RESOLUTION,NUM_BATS,BAT_SPEED,BAT_FAST_SPEED,BAT_RADIUS,CALL_DURATION,CALL_RATE,CALL_RATE_FAST,EMITTED_SPL,HEARING_THRESHOLD,OBSTACLE_COUNT,OBSTACLE_RADIUS,AIR_ABSORPTION,REFLECTION_LOSS,REFLECTION_LOSS_WALL,PROPENSITY_TO_CHANGE_DIRECTION,FRAME_RATE,CLEANUP_INTERVAL,CLEANUP_PLOT_DATA,TIME_DELAY_FOR_DIRECTION_CHANGE,NOISE_IN_CALL_RATE,CALL_DIRECTIONALITY,HEARING_DIRECTIONALITY,BAT_ROTATION_SPEED,BAT_FRONTAL_RANGE,IMPLEMENT_SNR,HEARING_ANGLE_THRESHOLD,MINIMUM_SOUND_DETECTION_FRACTION,INCLUDE_DIRECT_SOUNDS_IN_RESPONSE,SPL_THRESHOLD_FOR_ATTRACTION,SPL_THRESHOLD_FOR_REPULSION,SPATIAL_REFERENCE_FRAME,BAT_RADIAL_RESOLUTION,BAT_ANGULAR_RESOLUTION,MEMORY_WINDOW_FOR_CONSISTENCY,CONVERT_GRIDS+TO_ONE_HOT_?,NUMBER_OF_CONSISTENT_IPIS_FOR_MOVEMENT,TIME_DELAY_THRESHOLD_FOR_REPULSION,BEHAVIOUR_RULE,CONTROLLER_TYPE,STORE_HEARING,JAMMER_RESOLUTION,TEMPORAL_MASKING_FN_TYPE,OUTPUT_DIR_FOR_SIMULATION,PARAM_LABEL
0,271,24,0.058333333333333334,1,iteration_number_0,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
1,260,24,0.060866666666666666,1,iteration_number_1,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
2,234,22,0.05856666666666667,1,iteration_number_2,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
3,198,24,0.056933333333333336,1,iteration_number_3,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
4,261,22,0.0592,1,iteration_number_4,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
5,255,25,0.06113333333333333,1,iteration_number_5,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
6,225,22,0.05906666666666667,1,iteration_number_6,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
7,192,24,0.05896666666666667,1,iteration_number_7,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
8,248,24,0.06093333333333333,1,iteration_number_8,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
9,186,21,0.059033333333333333,1,iteration_number_9,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
10,191,24,0.06026666666666667,1,iteration_number_10,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
11,150,21,0.0779,1,iteration_number_11,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
12,226,22,0.05683333333333333,1,iteration_number_12,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
13,237,24,0.062266666666666665,1,iteration_number_13,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
14,266,26,0.060866666666666666,1,iteration_number_14,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
15,242,19,0.0623,1,iteration_number_15,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
16,203,22,0.059833333333333336,1,iteration_number_16,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
17,205,23,0.06016666666666667,1,iteration_number_17,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
18,250,24,0.059,1,iteration_number_18,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
19,140,15,0.0626,1,iteration_number_19,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
20,205,18,0.05466666666666667,1,iteration_number_20,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
21,237,25,0.05993333333333333,1,iteration_number_21,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
22,199,25,0.06536666666666667,1,iteration_number_22,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
23,169,21,0.054433333333333334,1,iteration_number_23,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
24,220,25,0.058833333333333335,1,iteration_number_24,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
25,110,24,0.0604,1,iteration_number_25,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
26,255,25,0.061033333333333335,1,iteration_number_26,343,30,0.001,10,7,0.51,1,5,5,0.125,0.002,10,10,100,100,0,0.075,1,24,10,0,100,0.1,10000000,0.014,0.01,7,2,360,60,yes,90,0.75,yes,93,98,allocentric,0.002,30,5,yes,3.0,0.014,consistency,presence,no,1,chopped,/sensitivity_analysis/paramset_2/,paramset_2
